Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,BatteryLevel,N Pkt,Yaw [degree] (V),Pitch [degree] (AP),Roll [degree] (ML),Force [N],Timestamp,ID Crutch,
,-0.155151367,0.070068359,-0.979858398,0.001586914,0.48828125,0.610351563,100,1025,284,50.24303,145.40369,70,10250,257
,-0.12878418,0.12121582,-0.973388672,0.001708984,1.159667969,-3.967285156,100,1026,284,50.156006,145.53572,70,10260,257
,-0.154663086,0.12878418,-0.97668457,4.88E-04,1.037597656,-5.249023438,100,1027,284,50.088005,145.70464,70,10270,257
,-0.153808594,0.099487305,-0.982543945,9.77E-04,0.793457031,-4.272460938,100,1028,285,50.018574,145.86926,70,10280,257
,-0.141235352,0.091674805,-0.977661133,0.001342773,0.793457031,-3.540039063,100,1029,285,49.945038,146.02908,71,10290,257
,-0.136962891,0.101196289,-0.974243164,0.001586914,0.915527344,-3.845214844,100,1030,285,49.870956,146.19151,68,10300,257
,-0.135131836,0.098266602,-0.978759766,0.001464844,1.220703125,-4.638671875,100,1031,285,49.79824,146.36227,67,10310,257
,-0.145385742,0.093261719,-0.982299805,0.001586914,1.220703125,-5.493164063,100,1032,285,49.730835,146.54294,68,10320,257
,-0.145141602,0.073120117,-0.979248047,0.001464844,1.159667969,-5.798339844,100,1033,285,49.666893,146.7284,69,10330,257
,-0.138427734,0.048583984,-0.979736328,0.001831055,1.159667969,-3.845214844,100,1034,286,49.59894,146.90912,68,10340,257
,-0.143554688,0.036254883,-0.984863281,0.001953125,0.854492188,-1.647949219,100,1035,286,49.51729,147.059,68,10350,257
,-0.152832031,0.044677734,-0.987548828,0.002319336,0.48828125,-0.061035156,100,1036,286,49.429607,147.19081,68,10360,257
,-0.152099609,0.064331055,-0.984619141,0.002075195,0.427246094,0.061035156,100,1037,286,49.339912,147.31667,67,10370,257
,-0.151123047,0.079223633,-0.980102539,0.001831055,0.549316406,-0.854492188,100,1038,286,49.252693,147.44794,68,10380,257
,-0.146728516,0.075439453,-0.980712891,0.001464844,0.732421875,-1.892089844,100,1039,286,49.169083,147.58777,68,10390,257
,-0.150512695,0.066650391,-0.979736328,0.001220703,0.915527344,-2.44140625,100,1040,286,49.08794,147.7349,68,10400,257
,-0.145996094,0.066162109,-0.977539063,9.77E-04,1.098632813,-3.479003906,100,1041,286,49.01034,147.89127,68,10410,257
,-0.153076172,0.05480957,-0.982177734,8.54E-04,1.220703125,-4.089355469,100,1042,286,48.93602,148.05553,68,10420,257
,-0.154541016,0.040893555,-0.985717773,7.32E-04,1.037597656,-2.380371094,100,1043,287,48.859364,148.21097,69,10430,257
,-0.152709961,0.038208008,-0.984008789,9.77E-04,0.9765625,-0.610351563,100,1044,287,48.77361,148.35017,69,10440,257
,-0.148681641,0.048583984,-0.982910156,9.77E-04,0.732421875,0.48828125,100,1045,287,48.678932,148.46672,69,10450,257
,-0.141357422,0.056274414,-0.98034668,8.54E-04,0.793457031,0.9765625,100,1046,287,48.58004,148.5761,70,10460,257
,-0.135986328,0.059936523,-0.984985352,9.77E-04,0.732421875,1.525878906,100,1047,287,48.478306,148.67944,69,10470,257
,-0.138793945,0.070556641,-0.986328125,0.001098633,0.549316406,1.892089844,100,1048,287,48.375786,148.77751,68,10480,257
,-0.130493164,0.077270508,-0.979248047,9.77E-04,0.427246094,1.953125,100,1049,287,48.272415,148.87053,68,10490,257
,-0.127929688,0.084106445,-0.981933594,9.77E-04,0.610351563,1.647949219,100,1050,287,48.168293,148.96585,67,10500,257
,-0.133422852,0.090454102,-0.985107422,9.77E-04,0.549316406,0.9765625,100,1051,287,48.067867,149.06616,68,10510,257
,-0.131591797,0.094604492,-0.982177734,9.77E-04,0.48828125,-0.244140625,100,1052,287,47.971195,149.17184,68,10520,257
,-0.125610352,0.092163086,-0.977050781,7.32E-04,0.732421875,-0.915527344,100,1053,287,47.87767,149.28537,68,10530,257
,-0.12512207,0.088867188,-0.978759766,9.77E-04,0.793457031,-1.098632813,100,1054,287,47.785187,149.40532,68,10540,257
,-0.135253906,0.085327148,-0.98425293,8.54E-04,0.48828125,-1.159667969,100,1055,288,47.69629,149.52441,68,10550,257
,-0.134521484,0.083251953,-0.982421875,8.54E-04,0.366210938,-1.342773438,100,1056,288,47.60924,149.64417,68,10560,257
,-0.122192383,0.069458008,-0.977783203,7.32E-04,0.549316406,-1.770019531,100,1057,288,47.52268,149.7684,68,10570,257
,-0.117553711,0.040893555,-0.984741211,8.54E-04,0.732421875,-1.403808594,100,1058,288,47.43407,149.8939,68,10580,257
,-0.131958008,0.032348633,-0.993286133,8.54E-04,0.427246094,0.183105469,100,1059,288,47.342663,150.00713,68,10590,257
,-0.137451172,0.049438477,-0.991943359,8.54E-04,-0.122070313,1.281738281,100,1060,288,47.249264,150.1042,67,10600,257
,-0.136962891,0.067138672,-0.982666016,7.32E-04,-0.061035156,0.427246094,100,1061,288,47.155598,150.20102,67,10610,257
,-0.135620117,0.065185547,-0.982177734,2.44E-04,0.183105469,-0.427246094,100,1062,288,47.065746,150.30574,66,10620,257
,-0.135864258,0.045288086,-0.981689453,2.44E-04,0.183105469,0.122070313,100,1063,288,46.975555,150.41132,66,10630,257
,-0.139282227,0.025512695,-0.986694336,4.88E-04,-0.061035156,2.075195313,100,1064,288,46.879635,150.50241,67,10640,257
,-0.145874023,0.036132813,-0.986206055,4.88E-04,-0.366210938,4.089355469,100,1065,288,46.775856,150.57162,67,10650,257
,-0.14050293,0.088623047,-0.979858398,6.10E-04,-0.48828125,4.333496094,100,1066,288,46.668873,150.63226,67,10660,257
,-0.1328125,0.106567383,-0.975463867,3.66E-04,-0.244140625,3.051757813,100,1067,288,46.562756,150.69772,67,10670,257
,-0.132446289,0.107055664,-0.979736328,1.22E-04,0,1.403808594,100,1068,288,46.4623,150.77785,66,10680,257
,-0.138916016,0.105102539,-0.981933594,2.44E-04,0.061035156,0.305175781,100,1069,288,46.367126,150.86957,67,10690,257
,-0.142333984,0.106201172,-0.982055664,3.66E-04,0.061035156,-1.037597656,100,1070,288,46.277233,150.9702,68,10700,257
,-0.141479492,0.104370117,-0.98059082,2.44E-04,0,-1.770019531,100,1071,289,46.191196,151.0774,68,10710,257
,-0.135742188,0.092529297,-0.978271484,2.44E-04,0.183105469,-2.197265625,100,1072,289,46.107643,151.1936,68,10720,257
,-0.132080078,0.073730469,-0.980712891,4.88E-04,0.183105469,-1.770019531,100,1073,289,46.02325,151.30992,69,10730,257
,-0.134033203,0.059814453,-0.982055664,6.10E-04,0.122070313,-0.793457031,100,1074,289,45.935863,151.41986,69,10740,257
,-0.135864258,0.062011719,-0.983154297,7.32E-04,0.122070313,0.183105469,100,1075,289,45.84397,151.52168,68,10750,257
,-0.138427734,0.075439453,-0.985961914,7.32E-04,0,0.183105469,100,1076,289,45.751575,151.61948,69,10760,257
,-0.135742188,0.07824707,-0.983886719,7.32E-04,-0.122070313,-0.366210938,100,1077,289,45.66255,151.72078,69,10770,257
,-0.134887695,0.070556641,-0.980834961,4.88E-04,-0.061035156,-0.915527344,100,1078,289,45.576054,151.82707,69,10780,257
,-0.13671875,0.061889648,-0.981323242,4.88E-04,-0.061035156,-0.9765625,100,1079,289,45.491154,151.93633,69,10790,257
,-0.14050293,0.059692383,-0.983886719,3.66E-04,-0.122070313,-0.793457031,100,1080,289,45.405674,152.04364,69,10800,257
,-0.141357422,0.061035156,-0.983642578,1.22E-04,-0.122070313,-0.732421875,100,1081,289,45.31966,152.14786,68,10810,257
,-0.13659668,0.066650391,-0.980224609,0,-0.122070313,-0.915527344,100,1082,289,45.2337,152.25085,68,10820,257
,-0.134155273,0.066040039,-0.982910156,-1.22E-04,-0.061035156,-1.098632813,100,1083,290,45.147835,152.35469,68,10830,257
,-0.134155273,0.045288086,-0.984985352,-2.44E-04,0,-0.793457031,100,1084,290,45.060875,152.45718,68,10840,257
,-0.136230469,0.030395508,-0.987792969,-1.22E-04,-0.122070313,0.427246094,100,1085,290,44.97369,152.55714,68,10850,257
,-0.141357422,0.034545898,-0.987792969,-1.22E-04,-0.427246094,1.831054688,100,1086,290,44.880383,152.63843,68,10860,257
,-0.143676758,0.049072266,-0.986450195,-1.22E-04,-0.671386719,2.624511719,100,1087,290,44.784443,152.70903,68,10870,257
,-0.140869141,0.063110352,-0.98425293,-2.44E-04,-0.610351563,2.502441406,100,1088,290,44.6866,152.77647,67,10880,257
,-0.139892578,0.067260742,-0.982788086,-6.10E-04,-0.549316406,2.44140625,100,1089,290,44.590004,152.8442,68,10890,257
